SAMPLEID,DUPLICATENO,HOLEID,PROJECTCODE,POINTPROSPECT,POINTGRIDNAME,POINTTENEMENTID,SAMPFROM,SAMPTO,SAMPLETYPE,POINTEAST,POINTNORTH,POINTRL,PRIORITY,STANDARDID,PSAMPLEID,PDUPLICATENO,CHECKSTAGE,FRACTIONID
142778,PRIMARY,SRC123,Merlot,,,,64,66,,,,,1,,,,,
277841,PRIMARY,SRC122,Merlot,,,,0,2,,,,,1,,,,,
277842,PRIMARY,SRC122,Merlot,,,,2,4,,,,,1,,,,,
277844,PRIMARY,SRC122,Merlot,,,,6,8,,,,,1,,,,,
277845,PRIMARY,SRC122,Merlot,,,,8,10,,,,,1,,,,,
277846,PRIMARY,SRC122,Merlot,,,,10,12,,,,,1,,,,,
277847,PRIMARY,SRC122,Merlot,,,,12,14,,,,,1,,,,,
277848,PRIMARY,SRC122,Merlot,,,,14,16,,,,,1,,,,,
277849,PRIMARY,SRC122,Merlot,,,,16,18,,,,,1,,,,,
277850,PRIMARY,SRC122,Merlot,,,,18,20,,,,,1,,,,,
277851,PRIMARY,SRC122,Merlot,,,,20,22,,,,,1,,,,,
277852,PRIMARY,SRC122,Merlot,,,,22,24,,,,,1,,,,,
277853,PRIMARY,SRC122,Merlot,,,,24,26,,,,,1,,,,,
277855,PRIMARY,SRC122,Merlot,,,,28,30,,,,,1,,,,,
277856,PRIMARY,SRC122,Merlot,,,,30,32,,,,,1,,,,,
277857,PRIMARY,SRC122,Merlot,,,,32,34,,,,,1,,,,,
277858,PRIMARY,SRC122,Merlot,,,,34,36,,,,,1,,,,,
277859,PRIMARY,SRC122,Merlot,,,,36,38,,,,,1,,,,,
277860,PRIMARY,SRC122,Merlot,,,,38,40,,,,,1,,,,,
277861,PRIMARY,SRC122,Merlot,,,,40,42,,,,,1,,,,,
277862,PRIMARY,SRC122,Merlot,,,,42,44,,,,,1,,,,,
277863,PRIMARY,SRC122,Merlot,,,,44,46,,,,,1,,,,,
277865,PRIMARY,SRC122,Merlot,,,,48,50,,,,,1,,,,,
277866,PRIMARY,SRC122,Merlot,,,,50,52,,,,,1,,,,,
277867,PRIMARY,SRC122,Merlot,,,,52,54,,,,,1,,,,,
277868,PRIMARY,SRC122,Merlot,,,,54,56,,,,,1,,,,,
277869,PRIMARY,SRC122,Merlot,,,,56,58,,,,,1,,,,,
277870,PRIMARY,SRC122,Merlot,,,,58,60,,,,,1,,,,,
277871,PRIMARY,SRC122,Merlot,,,,60,62,,,,,1,,,,,
277872,PRIMARY,SRC122,Merlot,,,,62,64,,,,,1,,,,,
277873,PRIMARY,SRC122,Merlot,,,,64,66,,,,,1,,,,,
277875,PRIMARY,SRC122,Merlot,,,,68,70,,,,,1,,,,,
277876,PRIMARY,SRC122,Merlot,,,,70,72,,,,,1,,,,,
277877,PRIMARY,SRC122,Merlot,,,,72,74,,,,,1,,,,,
277878,PRIMARY,SRC122,Merlot,,,,74,76,,,,,1,,,,,
277879,PRIMARY,SRC122,Merlot,,,,76,78,,,,,1,,,,,
277880,PRIMARY,SRC122,Merlot,,,,78,80,,,,,1,,,,,
277881,PRIMARY,SRC123,Merlot,,,,0,2,,,,,1,,,,,
277882,PRIMARY,SRC123,Merlot,,,,2,4,,,,,1,,,,,
277883,PRIMARY,SRC123,Merlot,,,,4,6,,,,,1,,,,,
277885,PRIMARY,SRC123,Merlot,,,,8,10,,,,,1,,,,,
277886,PRIMARY,SRC123,Merlot,,,,10,12,,,,,1,,,,,
277888,PRIMARY,SRC123,Merlot,,,,14,16,,,,,1,,,,,
277889,PRIMARY,SRC123,Merlot,,,,16,18,,,,,1,,,,,
277890,PRIMARY,SRC123,Merlot,,,,18,20,,,,,1,,,,,
277891,PRIMARY,SRC123,Merlot,,,,20,22,,,,,1,,,,,
277892,PRIMARY,SRC123,Merlot,,,,22,24,,,,,1,,,,,
277893,PRIMARY,SRC123,Merlot,,,,24,26,,,,,1,,,,,
277894,PRIMARY,SRC123,Merlot,,,,26,28,,,,,1,,,,,
277895,PRIMARY,SRC123,Merlot,,,,28,30,,,,,1,,,,,
277896,PRIMARY,SRC123,Merlot,,,,30,32,,,,,1,,,,,
277897,PRIMARY,SRC123,Merlot,,,,32,34,,,,,1,,,,,
277898,PRIMARY,SRC123,Merlot,,,,34,36,,,,,1,,,,,
277899,PRIMARY,SRC123,Merlot,,,,38,40,,,,,1,,,,,
277900,PRIMARY,SRC123,Merlot,,,,40,42,,,,,1,,,,,
277902,PRIMARY,SRC123,Merlot,,,,42,44,,,,,1,,,,,
277903,PRIMARY,SRC123,Merlot,,,,44,46,,,,,1,,,,,
277904,PRIMARY,SRC123,Merlot,,,,46,48,,,,,1,,,,,
277905,PRIMARY,SRC123,Merlot,,,,48,50,,,,,1,,,,,
277906,PRIMARY,SRC123,Merlot,,,,50,52,,,,,1,,,,,
277907,PRIMARY,SRC123,Merlot,,,,52,54,,,,,1,,,,,
277908,PRIMARY,SRC123,Merlot,,,,54,56,,,,,1,,,,,
277910,PRIMARY,SRC123,Merlot,,,,58,60,,,,,1,,,,,
277911,PRIMARY,SRC123,Merlot,,,,60,62,,,,,1,,,,,
277912,PRIMARY,SRC123,Merlot,,,,62,64,,,,,1,,,,,
277914,PRIMARY,SRC123,Merlot,,,,66,68,,,,,1,,,,,
277915,PRIMARY,SRC123,Merlot,,,,68,70,,,,,1,,,,,
277916,PRIMARY,SRC123,Merlot,,,,70,72,,,,,1,,,,,
277917,PRIMARY,SRC123,Merlot,,,,72,74,,,,,1,,,,,
277918,PRIMARY,SRC123,Merlot,,,,74,76,,,,,1,,,,,
277920,PRIMARY,SRC123,Merlot,,,,78,80,,,,,1,,,,,
SRC123,PRIMARY,SRC123,Merlot,,,,,,STD_LINK,,,,1,,,,,
